INTERACTOR_A	INTERACTOR_B	OFFICIAL_SYMBOL_A	OFFICIAL_SYMBOL_B	ALIASES_FOR_A	ALIASES_FOR_B	EXPERIMENTAL_SYSTEM	SOURCE	PUBMED_ID	ORGANISM_A_ID	ORGANISM_B_ID
CELE_AC7.2	CELE_W07G4.5	soc-2	W07G4.5	-	-	Two-hybrid	Li S (2004)	14704431	6239	6239
CELE_AC7.2	ZK792.6	soc-2	let-60	-	CELE_ZK792.6|lin-34	Two-hybrid	Li S (2004)	14704431	6239	6239
B0024.12	B0365.1	gna-1	acly-2	CELE_B0024.12|CeGNA1	CELE_B0365.1	Two-hybrid	Li S (2004)	14704431	6239	6239
B0024.12	CELE_C25F6.2	gna-1	dlg-1	CELE_B0024.12|CeGNA1	-	Two-hybrid	Li S (2004)	14704431	6239	6239
B0024.12	CELE_C38D4.6	gna-1	pal-1	CELE_B0024.12|CeGNA1	-	Two-hybrid	Li S (2004)	14704431	6239	6239
B0024.12	CELE_W02G9.3	gna-1	W02G9.3	CELE_B0024.12|CeGNA1	-	Two-hybrid	Li S (2004)	14704431	6239	6239
CELE_B0024.14	CELE_B0024.14	crm-1	crm-1	-	-	Two-hybrid	Li S (2004)	14704431	6239	6239
CELE_B0024.14	CELE_B0507.1	crm-1	B0507.1	-	-	Two-hybrid	Li S (2004)	14704431	6239	6239
CELE_B0024.14	C02C2.1	crm-1	tyr-1	-	CELE_C02C2.1	Two-hybrid	Li S (2004)	14704431	6239	6239
CELE_B0024.14	C34G6.2	crm-1	tyr-4	-	CELE_C34G6.2	Two-hybrid	Li S (2004)	14704431	6239	6239
CELE_B0024.14	CELE_C37C3.6	crm-1	mig-6	-	-	Two-hybrid	Li S (2004)	14704431	6239	6239
CELE_B0024.14	CELE_C54D2.2	crm-1	C54D2.2	-	-	Two-hybrid	Li S (2004)	14704431	6239	6239
CELE_B0024.14	CELE_F08C6.1	crm-1	adt-2	-	-	Two-hybrid	Li S (2004)	14704431	6239	6239
