INTERACTOR_A	INTERACTOR_B	OFFICIAL_SYMBOL_A	OFFICIAL_SYMBOL_B	ALIASES_FOR_A	ALIASES_FOR_B	EXPERIMENTAL_SYSTEM	SOURCE	PUBMED_ID	ORGANISM_A_ID	ORGANISM_B_ID
ETG4842	ETG29382	NOS1	Ctbp1	IHPS1|N-NOS|NC-NOS|NOS|bNOS|nNOS	50-kDaBFA-inducedADP-ribosylatedsubstrate|BARS-50|Bars|CtBP3/BARS	Affinity Capture-MS	Riefler GM (2001)	11590170	9606	10116
ETG581	ETG116502	BAX	Bak1	BCL2L4	-	Affinity Capture-Western	Henry H (2002)	11850803	9606	10116
RP11-481A12.4	ETG24413	NCOA4	Nr3c1	ARA70|ELE1|PTC3|RFG	GR|Gcr|Grl	Reconstituted Complex	Alen P (1999)	9892017	9606	10116
ETG25414	ETG25513	Bcar1	Pik3r1	Cas|Crkas|P130CAS	PI3KA	Affinity Capture-Western	Riggins RB (2003)	12692262	10116	10116
ETG25414	ETG25513	Bcar1	Pik3r1	Cas|Crkas|P130CAS	PI3KA	Far Western	Riggins RB (2003)	12692262	10116	10116
ETG9261	ETG24855	MAPKAPK2	Tsc2	MAPKAP-K2|MK-2|MK2	Rc	Biochemical Activity	Li Y (2003)	12582162	9606	10116
ETG24855	RP1-148E22.1	Tsc2	YWHAB	Rc	GW128|HEL-S-1|HS1|KCIP-1|YWHAA	Affinity Capture-Western	Li Y (2003)	12582162	10116	9606
ETG5783	ETG24205	PTPN13	Apc	FAP-1|PNP1|PTP-BAS|PTP-BL|PTP1E|PTPL1|PTPLE|hPTP1E	RATAPC	Affinity Capture-Western	Erdmann KS (2000)	10951583	9606	10116
ETG29382	ETG24598	Ctbp1	Nos1	50-kDaBFA-inducedADP-ribosylatedsubstrate|BARS-50|Bars|CtBP3/BARS	bNOS	Affinity Capture-Western	Riefler GM (2001)	11590170	10116	10116
ETG24205	ETG5783	Apc	PTPN13	RATAPC	FAP-1|PNP1|PTP-BAS|PTP-BL|PTP1E|PTPL1|PTPLE|hPTP1E	Two-hybrid	Erdmann KS (2000)	10951583	10116	9606
ETG24205	ETG5783	Apc	PTPN13	RATAPC	FAP-1|PNP1|PTP-BAS|PTP-BL|PTP1E|PTPL1|PTPLE|hPTP1E	Reconstituted Complex	Erdmann KS (2000)	10951583	10116	9606
ETG66603	ETG85435	Gemin2	Smad9	1700012N19Rik|Sip1	Madh9|Smad8	Two-hybrid	van Grunsven LA (2003)	12714599	10090	10116
ETG89816	ETG361512	Picalm	Ehd2	Calm	MGEPS	Reconstituted Complex	Park SY (2004)	15182197	10116	10116
ETG361512	ETG25139	Ehd2	Slc2a4	MGEPS	Glut4	Affinity Capture-Western	Park SY (2004)	15182197	10116	10116
HSPC277	ETG292925	AATF	Tsg101	BFR2|CHE-1|CHE1|DED	Rw	Two-hybrid	Burgdorf S (2004)	14761944	9606	10116
ETG292925	HSPC277	Tsg101	AATF	Rw	BFR2|CHE-1|CHE1|DED	Reconstituted Complex	Burgdorf S (2004)	14761944	10116	9606
ETG8655	ETG310218	DYNLL1	Car1	DLC1|DLC8|DNCL1|DNCLC1|LC8|LC8a|PIN|hdlc1	CA-I|Ca1	Affinity Capture-MS	Navarro-Lerida I (2004)	14760703	9606	10116
ETG8655	ETG24533	DYNLL1	Ldha	DLC1|DLC8|DNCL1|DNCLC1|LC8|LC8a|PIN|hdlc1	Ldh1	Affinity Capture-MS	Navarro-Lerida I (2004)	14760703	9606	10116
ETG8655	ETG24189	DYNLL1	Aldoa	DLC1|DLC8|DNCL1|DNCLC1|LC8|LC8a|PIN|hdlc1	Aldo1|RNALDOG5	Affinity Capture-MS	Navarro-Lerida I (2004)	14760703	9606	10116
ETG8655	ETG64520	DYNLL1	Mta1	DLC1|DLC8|DNCL1|DNCLC1|LC8|LC8a|PIN|hdlc1	-	Affinity Capture-MS	Navarro-Lerida I (2004)	14760703	9606	10116
ETG8655	ETG50688	DYNLL1	Cacnb1	DLC1|DLC8|DNCL1|DNCLC1|LC8|LC8a|PIN|hdlc1	-	Affinity Capture-MS	Navarro-Lerida I (2004)	14760703	9606	10116
ETG8655	ETG24957	DYNLL1	Glul	DLC1|DLC8|DNCL1|DNCLC1|LC8|LC8a|PIN|hdlc1	Glns	Affinity Capture-MS	Navarro-Lerida I (2004)	14760703	9606	10116
ETG8655	ETG81822	DYNLL1	Actb	DLC1|DLC8|DNCL1|DNCLC1|LC8|LC8a|PIN|hdlc1	Actx	Affinity Capture-MS	Navarro-Lerida I (2004)	14760703	9606	10116
ETG8655	ETG287876	DYNLL1	Actg1	DLC1|DLC8|DNCL1|DNCLC1|LC8|LC8a|PIN|hdlc1	Actg	Affinity Capture-MS	Navarro-Lerida I (2004)	14760703	9606	10116
ETG8655	ETG24551	DYNLL1	Mdh1	DLC1|DLC8|DNCL1|DNCLC1|LC8|LC8a|PIN|hdlc1	MDL1|Mdhl|Mor2	Affinity Capture-MS	Navarro-Lerida I (2004)	14760703	9606	10116
ETG8655	ETG81818	DYNLL1	Vim	DLC1|DLC8|DNCL1|DNCLC1|LC8|LC8a|PIN|hdlc1	-	Affinity Capture-MS	Navarro-Lerida I (2004)	14760703	9606	10116
ETG8655	ETG499110	DYNLL1	Zfp780b	DLC1|DLC8|DNCL1|DNCLC1|LC8|LC8a|PIN|hdlc1	-	Affinity Capture-MS	Navarro-Lerida I (2004)	14760703	9606	10116
ETG8655	ETG24399	DYNLL1	Glud1	DLC1|DLC8|DNCL1|DNCLC1|LC8|LC8a|PIN|hdlc1	Ac2-281|Gdh1|Glud|Gludeha|MRG-2	Affinity Capture-MS	Navarro-Lerida I (2004)	14760703	9606	10116
ETG8655	ETG64158	DYNLL1	Tuba1a	DLC1|DLC8|DNCL1|DNCLC1|LC8|LC8a|PIN|hdlc1	Tuba1	Affinity Capture-MS	Navarro-Lerida I (2004)	14760703	9606	10116
ETG8655	ETG291081	DYNLL1	Tubb2b	DLC1|DLC8|DNCL1|DNCLC1|LC8|LC8a|PIN|hdlc1	RGD1309427|Tubb2	Affinity Capture-MS	Navarro-Lerida I (2004)	14760703	9606	10116
ETG8655	ETG64845	DYNLL1	Gphn	DLC1|DLC8|DNCL1|DNCLC1|LC8|LC8a|PIN|hdlc1	Geph	Affinity Capture-MS	Navarro-Lerida I (2004)	14760703	9606	10116
